Código BIP	Nombre Iniciativa	Sub Sector	Nombre de las fuentes	RATE	Costo Total
30099636-0	"RESTAURACION PALACIO RIOJA, VIÑA DEL MAR"	ARTE Y CULTURA	SECTORIAL	RS	2636993
30099655-0	RESTAURACION  PALACIO CARRASCO DE VIÑA DEL MAR	ARTE Y CULTURA	F.N.D.R.	RS	4937191
30099775-0	RESTAURACION  PALACIO VERGARA DE VIÑA DEL MAR	ARTE Y CULTURA	F.N.D.R.	RS	5263499
30099807-0	RESTAURACION TEATRO MUNICIPAL DE VIÑA DEL MAR	ARTE Y CULTURA	F.N.D.R.	RS	8849348
30099997-0	"REPOSICION ESCUELA BASICA LOS BELLOTOS DE LA VEGA, OLMUE"	EDUCACION BASICA Y MEDIA	F.N.D.R.		624547
30100384-0	REPOSICION DE JARDIN INFANTIL JUNJI PULGARCITO DE VALPARAISO	EDUCACION PREBASICA	SECTORIAL	RS	328456
30100385-0	REPOSICION DE JARDIN INFANTIL JUNJI BAMBI DE VALPARAISO	EDUCACION PREBASICA	SECTORIAL	RS	494791
30100386-0	REPOSICION DE JARDIN INFANTIL JUNJI VELERITO DE SAN ANTONIO	EDUCACION PREBASICA	SECTORIAL	RS	665902
30100388-0	REPOSICION DE JARDIN INFANTIL JUNJI REMOLINO DE LLAY LLAY	EDUCACION PREBASICA	F.N.D.R.	RS	713704
30103817-0	CONSERVACION EDIFICIO ESCUELA DE DERECHO UNIVERSIDAD DE VALPARAÍSO	EDUCACION SUPERIOR	F.N.D.R.		438558
30105536-0	HABILITACION MUSEO DEL GRABADO DOCUMENTAL PATRIMONIAL VISUAL        	ARTE Y CULTURA	F.N.D.R.	OT	1723201
30108564-0	HABILITACION NUEVA MUSEOGRAFIA MUSEO HISTORIA NATURAL VALPARAISO	ARTE Y CULTURA	SECTORIAL	RS	1628940
30113160-0	CONSERVACION CONDICIONES DE SEGURIDAD DE JARDINES INFANTILES	EDUCACION PREBASICA	F.N.D.R.		403161
30115848-0	"REPARACION ESCUELA LORENZO BAEZA VEGA, ISLA DE PASCUA"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	1329807
30116596-0	AMPLIACION CAMPUS SAN FELIPE UNIVERSIDAD DE VALPARAISO.	EDUCACION SUPERIOR	F.N.D.R.	FI	3790125
30118119-0	"HABILITACION INFRAESTRUCTURA PARA EL LICEO BICENTENARIO, SAN ANTONIO"	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	1240157
30119565-0	CAPACITACION CONVIVENCIA ESCOLAR PARA MEJORAR EL CLIMA EN ESC. M	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	540888
30120364-0	RESTAURACION NAVE CENTRAL ESCUELA REPÚBLICA ARGENTINA. QUILLOTA	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	192089
30123693-0	REPOSICION JARDIN INFANTIL Y SALA CUNA SANDALITO DE JUAN FERNANDEZ	EDUCACION PREBASICA	SECTORIAL	FI	1594392
30124445-0	"ADQUISICION BUTACAS E ILUMINACION  ANFITEATRO P. NARANJOS,HIJUELAS "	ADMINISTRACION EDUCACION Y CULTURA	F.N.D.R.		250000
30127841-0	"REPOSICION ESCUELA LEZANA PINCHEIRA, VIÑA DEL MAR"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	1170384
30129780-0	CONSERVACION LICEO INSTITUTO SUPERIOR DE COMERCIO ALBERTO BLEST GANA	EDUCACION MEDIA TECNICO	SECTORIAL		157828
30131462-0	"ADQUISICION EQUIPAMIENTO AUDIOVISUAL S. ALDO FRANCIA, VIÑA DEL M "	INTERSUBSECTORIAL EDUCACION Y CULTURA	F.N.D.R.		31958
30132728-0	"REPOSICION PARCIAL LICEO A-37, ETAPA FINAL, COMUNA DE LIMACHE"	EDUCACION MEDIA TECNICO	F.N.D.R.	RS	2264864
