Código BIP	Nombre Iniciativa	Sub Sector	Nombre de las fuentes	RATE	Costo Total
30036481-0	REPOSICION SISTEMA  ELECTRICO SECRETARIA MINISTERIAL EDUCACIO	EDUCACION BASICA Y MEDIA	SECTORIAL	FI	36873
30039802-0	AMPLIACION ESCUELA BERNARDO O´HIGGINS	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.		902804
30040041-0	"AMPLIACION COLEGIO JESUS DE NAZARET, LA CALERA"	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RS	261139
30040050-0	ADQUISICION BUTACAS ANFITEATRO CENTRO CIVICO Y CULTURAL LA LIGUA	ADMINISTRACION EDUCACION Y CULTURA	F.N.D.R.	OT	4753
30040102-0	CONSTRUCCION LICEO TECNICO PROFESIONAL	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RS	702918
30040174-0	REPOSICION ESCUELA BARROS ARANA E-401	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RS	618308
30040182-0	REPOSICION ESCUELA MELVIN JONES  F-402	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RS	508153
30041140-0	AMPLIACION ESCUELA ANEXO LUIS CRUZ MARTINEZ	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	1036775
30043103-0	HABILITACION OFICINAS COORDINACION BIBLIOTECAS V REGION	ARTE Y CULTURA	SECTORIAL	OT	28048
30043513-0	AMPLIACION CAMPUS SAN FELIPE UNIVERSIDAD DE PLAYA ANCHA	EDUCACION SUPERIOR	F.N.D.R.	RS	650000
30044167-0	CONSTRUCCION JARDIN INFANTIL SECTOR LAS CADENAS	EDUCACION PREBASICA	F.N.D.R.	RS	144951
30045116-0	"REPOSICION LICEO JUAN RUSQUE PORTAL, II ETAPA NOGALES"	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	556978
30045174-0	CAPACITACION JOVENES CON TALENTO ARTISTICO - COMUNA DE VALPARAISO	CAPACITACION EDUCACION Y CULTURA	F.N.D.R.	OT	86690
30045984-0	EQUIPAMIENTO ESPECIALIDADES TÉCNICAS LICEO A-42 JUAN DANTE PARRAGUEZ	EDUCACION BASICA Y MEDIA	F.N.D.R.	OT	77327
30046594-0	DIFUSION ACCIONES ARTÍSTICO CULTURAL EN COLEGIOS DE VALPARAÍSO	ARTE Y CULTURA	F.N.D.R.	OT	62413
30048677-0	REPOSICION VEHICULO TRASPORTE  NIÑOS EDUC. ESPECIAL Y  PRE ESCOLAR	INTERSUBSECTORIAL EDUCACION Y CULTURA	F.N.D.R.	RS	27846
30048678-0	ADQUISICION VEHICULO DE TRANSPORTE PARA ADULTOS MAYORES	INTERSUBSECTORIAL EDUCACION Y CULTURA	F.N.D.R.	OT	30500
30057670-0	REPOSICION Y AMPLIACION ESCUELA ALDO FRANCIA-LAS PALMAS	EDUCACION BASICA Y MEDIA	F.N.D.R.	OT	356800
30060287-0	AMPLIACION DE AULAS Y SS.HH. COMPLEJO EDUC. SARGENTO ALDEA	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	181719
30060521-0	MEJORAMIENTO POR ACTUALIZACION TECNOLOGICA AULA MAGNA U.T.F.S.M.	ARTE Y CULTURA	F.N.D.R.	RS	199652
30060829-0	"CAPACITACION ORQUESTA  SINFONICA JUVENIL, COMUNA SAN ANTONIO"	CAPACITACION EDUCACION Y CULTURA	F.N.D.R.	OT	13645
30067016-0	REPOSICION JARDIN INFANTIL Y SALACUNA SANDALITO	EDUCACION PREBASICA	F.N.D.R.	RS	113404
30067242-0	HABILITACION MODULO  DIGITALIZACION ARCHIVOS BIBLIOTECA MULLOY	ARTE Y CULTURA	F.N.D.R.	RS	10607
30067259-0	INVESTIGACION DE NECESIDADES PSICO-EDUCATIVAS POBLACIÓN ESCOLAR BASIC	EDUCACION BASICA Y MEDIA	F.N.D.R.	OT	22667
30067266-0	CONSERVACION AGENDA CULTURAL DE RAPA NUI	EDUCACION BASICA Y MEDIA	F.N.D.R.	OT	4079
30067273-0	EQUIPAMIENTO PARA MODERNIZACIÓN DE UN CANAL  CULTURAL	EDUCACION BASICA Y MEDIA	F.N.D.R.	OT	4967
30068143-0	EQUIPAMIENTO COMEDORES DE ESCUELAS MUNICIPALES DE LA V REGION	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	492490
30039909-0	CONSTRUCCION INFRAESTRUCTURA EN TERRENO DE EX-CARCEL DE VALPARAISO	ARTE Y CULTURA	F.N.D.R.	RS	30422
20055708-0	"AMPLIACION ESCUELA BASICA GN-496, PDTE. PEDRO AGUIRRE CERDA"	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	12751
20111568-0	REPOSICION ESCUELA BASICA F-377 LIMACHITO	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	FI	78872
20166776-0	"REPOSICION LICEO TECNICO PROFESIONAL DE MINERIA, CABILDO"	EDUCACION MEDIA TECNICO	F.N.D.R.	RS	16133
20172648-0	AMPLIACION ESCUELA REPUBLICA DE VENEZUELA	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	9515
20172658-0	AMPLIACION ADECUACION Y EQUIPAMIENTO ESCUELA ARGENTINA F-297	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	29434
20172661-0	AMPLIACION HABILITACIÓN Y EQUIPAMIENTO ESCUELA BLAS CUEVAS D-307	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	14717
20172684-0	"AMPLIACION ESCUELA GABRIELA MISTRAL, LA CALERA"	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	22802
20182193-0	"RESTAURACION CASA P. AGUIRRE CERDA Y ESCUELA AGRICOLA, CALLE LARGA."	ARTE Y CULTURA	F.N.D.R.	OT	32000
20183774-0	CONSTRUCCION DEPARTAMENTO PROVINCIAL DE EDUCACION QUILLOTA - PETORCA	ADMINISTRACION EDUCACION Y CULTURA	SECTORIAL	RS	20213
20186852-0	AMPLIACION ESCUELA DAVID BEN GURION ( F-294 )	EDUCACION BASICA Y MEDIA	SECTORIAL	FI	44471
20187065-0	REPOSICION Y EQUIPAMIENTO ESCUELA PILOTO LUIS PARDO F-299	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	36303
20187635-0	AMPLIACION ESCUELA BASICA D-176 ABRAHAM LINCOLN	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	19859
20187772-0	AMPLIACION ESCUELA SAN JOSÉ DE CALASANZ	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	9187
20188040-0	"AMPLIACION ESCUELA G-84 EL COBRE - LA COLONIA, CATEMU"	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	3745
20188071-0	"CONSTRUCCION ANEXO ESCUELA BASICA G-496, PDTE. PEDRO A. CERDA"	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	36476
20190578-0	AMPLIACION Y MEJORAMIENTO INFRAESTRUCTURA ESC. ANA JESUS IBACACHE	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	5457
20191423-0	CONSTRUCCION NUEVO ESTABLECIMIENTO ESCUELA SAN JOSE DE CALASANZ	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	16972
20192493-0	CONSTRUCCION NUEVO ESTABLECIMIENTO ESCUELA MOVILIZADORES PORTUARIOS	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	56473
20192531-0	CONSTRUCCION HABILITACIÓN ANEXO LICEO JUAN DANTE PARRAGUEZ.	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	9861
20192568-0	AMPLIACION LICEO JUAN DANTE PARRAGUEZ	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	16551
30028242-0	AMPLIACION ESCUELA ELISA LATAPIAT F-218	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	18250
30028689-0	AMPLIACION LICEO TÉCNICO FEMENINO	EDUCACION MEDIA TECNICO	SECTORIAL	RS	44980
30028697-0	AMPLIACION ESCUELA ESPECIAL DE DESARROLLO	EDUCACION DIFERENCIAL Y ESPECIAL	SECTORIAL	RS	38468
30028698-0	AMPLIACION COLEGIO TECNICO PROFESIONAL MANNHEIM	EDUCACION MEDIA TECNICO	SECTORIAL	RS	49671
30028746-0	"REPOSICION CON RELOCALIZACION LICEO BENJAMIN VICUNA MACKENNA, VINA"	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	68971
30028748-0	"REPOSICION ESCUELA EDUARDO FREI M. F-369, VINA"	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	21693
30028749-0	"REPOSICION ESCUELA BASICA ADRIANO MACHADO E-351,VINA"	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	31474
30028754-0	"AMPLIACION ESCUELA SANTA JULIA D-334, VINA"	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	31473
30028758-0	"AMPLIACION ESCUELA MARCELA PAZ F-361, VINA"	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	33374
30029672-0	REPOSICION Y EQUIPAMIENTO ESCUELA ERNESTO QUIROZ WEBER F-311	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	32476
30029686-0	AMPLIACION ESCUELA MONTE CARMELO	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	9515
30029731-0	AMPLIACION ESCUELA BASICA E10 GABRIELA MISTRAL LA LIGUA	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	49477
30036494-0	"REPOSICION ESCUELA PERFECTO DE LA FUENTE, RINCONADA"	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	13500
30039654-0	AMPLIACION ESCUELA 21 DE MAYO DE VIÑA DEL MAR	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	48420
30039798-0	"REPOSICION ESCUELA CLAUDIO ARRAU G-344, VIÑA DEL MAR"	EDUCACION BASICA Y MEDIA	SECTORIAL	FI	15400
30039799-0	AMPLIACION ARCHI DE VIÑA DEL MAR	EDUCACION BASICA Y MEDIA	SECTORIAL	FI	25000
30039800-0	AMPLIACION ESCUELA REPUBLICA DEL ECUADOR	EDUCACION BASICA Y MEDIA	SECTORIAL	FI	22000
30039802-0	AMPLIACION ESCUELA BERNARDO O´HIGGINS	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	33411
30039803-0	"AMPLIACION ESCUELA GOMEZ CARREÑO D-356, VIÑA DEL MAR"	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	55166
30039804-0	AMPLIACION ESCUELA MINISTRO ZENTENO DE VIÑA	EDUCACION BASICA Y MEDIA	SECTORIAL	FI	123000
30040041-0	"AMPLIACION COLEGIO JESUS DE NAZARET, LA CALERA"	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	8695
30040062-0	CONSTRUCCION LICEO NUEVA CARTAGO DE CARTAGENA	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	52584
30040102-0	CONSTRUCCION LICEO TECNICO PROFESIONAL	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	23736
30040114-0	AMPLIACION ADECUACION Y EQUP. ESCUELA SAN JUDAS TADEO F-305	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	24725
30040174-0	REPOSICION ESCUELA BARROS ARANA E-401	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	28310
30040182-0	REPOSICION ESCUELA MELVIN JONES  F-402	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	38000
30041140-0	AMPLIACION ESCUELA ANEXO LUIS CRUZ MARTINEZ	EDUCACION BASICA Y MEDIA	SECTORIAL	RS	49477
30057670-0	REPOSICION Y AMPLIACION ESCUELA ALDO FRANCIA-LAS PALMAS	EDUCACION BASICA Y MEDIA	MUNICIPAL		20500
20046313-0	"REPOSICION INFRAESTRUCTURA LICEO B-15, LLAY LLAY"	EDUCACION MEDIA TECNICO	F.N.D.R.	RS	478346
20055708-0	"AMPLIACION ESCUELA BASICA GN-496, PDTE. PEDRO AGUIRRE CERDA"	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	FI	280964
20084962-0	"AMPLIACION LICEO AGRICOLA CORDILLERA CHINCOLCO, PETORCA"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	62564
20085024-0	"REPOSICION LICEO JUAN RUSQUE PORTAL, NOGALES"	EDUCACION MEDIA TECNICO	F.N.D.R.	RS	508517
20111568-0	REPOSICION ESCUELA BASICA F-377 LIMACHITO	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	FI	512036
20115843-0	"ADQUISICION Y HABILITACION CASA GONDECK, EL QUISCO"	INTERSUBSECTORIAL EDUCACION Y CULTURA	F.N.D.R.	OT	239054
20119827-0	REPOSICION ESCUELA EDUARDO FERNANDEZ DE ASTURIAS G-501	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	236003
20121277-0	REPOSICION CON RELOCALIZACION ANTIGUA ESCUELA GABRIELA MISTRAL	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	331232
20135849-0	NORMALIZACION ESCUELA BASICA F-495 SAN SEBASTIAN E. SUBERCASEUX	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	208892
20136068-0	NORMALIZACION ESCUELA LO CALVO G-146; SAN ESTEBAN	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	243000
20138631-0	"CONSTRUCCION BIBLIOTECA MUNICIPAL  HNO. EMETERIO JOSE , LOS ANDES"	EDUCACION BASICA Y MEDIA	F.N.D.R.	IN	592567
20148521-0	"CONSTRUCCION SOLUCION INTEGRAL, ESC. PALESTINA Y SAPIAIN"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RA	706451
20152432-0	"CONSTRUCCION ANEXO LICEO CLARA SOLOVERA, EL QUISCO"	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R. - MUNICIPAL	RA	497512
20152862-0	"NORMALIZACION ESCUELA BASICA ARAUCARIA, CABILDO"	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	261815
20154039-0	"ADQUISICION VEHICULO TRANSPORTE ESCOLARES, SAN ESTEBAN"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	52200
20155733-0	"REPOSICION ESCUELA RAMON FREIRE E-175, QUILLOTA"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	540041
20155985-0	"AMPLIACION Y REPOSICION ESCUELA F-362, LOS ALMENDROS (EL LIBANO)"	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RS	396787
20161239-0	"AMPLIACION LICEO J. M. BORGOÑO, PETORCA"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RA	353676
20166412-0	"AMPLIACION Y EQUIPAMIENTO ESCUELA E-298 ESPAÑA, VALPARAISO"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RA	619433
20166414-0	"AMPLIACION Y EQUIPAMIENTO LICEO A-23 ALFREDO NAZAR, VALPARAISO"	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RS	2187460
20166776-0	"REPOSICION LICEO TECNICO PROFESIONAL DE MINERIA, CABILDO"	EDUCACION MEDIA TECNICO	F.N.D.R.	FI	525628
20172648-0	AMPLIACION ESCUELA REPUBLICA DE VENEZUELA	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	FI	141790
20172658-0	AMPLIACION ADECUACION Y EQUIPAMIENTO ESCUELA ARGENTINA F-297	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	FI	475341
20172661-0	AMPLIACION HABILITACIÓN Y EQUIPAMIENTO ESCUELA BLAS CUEVAS D-307	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	FI	228268
20172684-0	"AMPLIACION ESCUELA GABRIELA MISTRAL, LA CALERA"	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	FI	489264
20173528-0	"AMPLIACION REPOSICION ESC.BASICA POETA NERUDA, ISLA NEGRA-EL QUISC"	EDUCACION BASICA Y MEDIA	MUNICIPAL	RA	421596
20176653-0	"REPOSICION JARDIN INFANTIL VALLE HERMOSO, CATEMU"	EDUCACION PREBASICA	F.N.D.R.	RS	145985
20186852-0	AMPLIACION ESCUELA DAVID BEN GURION ( F-294 )	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	FI	649809
20186992-0	AMPLIACION Y ADECUACION ESCUELA GRECIA D-251 	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RS	524502
20187015-0	AMPLIACION ADECUACION Y EQUIPAMIENTO ESCUELA AMERICA D-262	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RS	1043415
20187065-0	REPOSICION Y EQUIPAMIENTO ESCUELA PILOTO LUIS PARDO F-299	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	FI	494628
20187072-0	AMPLIACION ESCUELA CARMELA CARVAJAL DE PRAT	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RS	542454
20187075-0	AMPLIACION ADECUACION Y EQUIPAMIENTO LIC. EDUARDO DE LA BARRA A-22	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RS	2300119
20187136-0	CONSTRUCCION SOLUCION INTEGRAL	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RS	1995569
20187187-0	AMPLIACION Y ADECUACION ESCUELA D-314 JOAQUIN EDWARDS BELLO	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RS	778173
20187236-0	AMPLIACION ADECUACION Y EQUIPAMIENTO CENTRO EDUCATIVO FLORIDA E269	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	224139
20187244-0	AMPLIACION Y ADECUACION ESCUELA ALEMANIA D-255	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RS	470347
20187249-0	AMPLIACION Y EQUIPAMIENTO LICEO C-100 PEDRO MONTT	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RS	1010182
20187252-0	AMPLIACION ADECUACION Y EQUIPAMIENTO ESCUELA GASPAR CABRALES D-250	EDUCACION BASICA Y MEDIA	SECTORIAL	RA	340643
20187267-0	AMPLIACION Y REPARACION COLEGIO D-322 COLOMBIA	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RA	684004
20187462-0	AMPLIACION Y ADECUACION ESCUELA ESTADO DE ISRAEL E-312	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RS	787610
20187479-0	"AMPLIACION LICEO REPUBLICA DEL BRASIL, SAN ESTEBAN"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	174372
20187524-0	AMPLIACION LICEO TECNICO CARLOS ALESSANDRI	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RA	355059
20187582-0	CONSTRUCCION AMPLIACION ESCUELA BASICA F-172 EL BOCO	EDUCACION BASICA Y MEDIA	F.N.D.R.	RA	250313
20187635-0	AMPLIACION ESCUELA BASICA D-176 ABRAHAM LINCOLN	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	FI	403564
20187772-0	AMPLIACION ESCUELA SAN JOSÉ DE CALASANZ	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	FI	147318
20188040-0	"AMPLIACION ESCUELA G-84 EL COBRE - LA COLONIA, CATEMU"	EDUCACION BASICA Y MEDIA	SECTORIAL	FI	162158
20188071-0	"CONSTRUCCION ANEXO ESCUELA BASICA G-496, PDTE. PEDRO A. CERDA"	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	FI	749058
20190416-0	CONSTRUCCION INFRAESTRUCTURA ESCENICA ANFITEATRO PARQUE URBANO	ARTE Y CULTURA	F.N.D.R.	RS	107629
20190578-0	AMPLIACION Y MEJORAMIENTO INFRAESTRUCTURA ESC. ANA JESUS IBACACHE	EDUCACION BASICA Y MEDIA	F.N.D.R.	OT	95673
20191423-0	CONSTRUCCION NUEVO ESTABLECIMIENTO ESCUELA SAN JOSE DE CALASANZ	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	FI	368872
20191775-0	"AMPLIACION MUSEO HISTORICO, COMUNA DE LA CRUZ"	INTERSUBSECTORIAL EDUCACION Y CULTURA	F.N.D.R.	FI	61000
20191871-0	"ADQUISICION BUS ESCOLAR, MUNICIPALIDAD DE EL QUISCO."	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	50837
20192165-0	DIFUSION Y REPOSICIONAMIENTO DE LA OFERTA CULTURAL DE CINE ARTE 	ARTE Y CULTURA	F.N.D.R.	RS	77581
20192493-0	CONSTRUCCION NUEVO ESTABLECIMIENTO ESCUELA MOVILIZADORES PORTUARIOS	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	FI	962153
20192531-0	CONSTRUCCION HABILITACIÓN ANEXO LICEO JUAN DANTE PARRAGUEZ.	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	FI	204698
20192568-0	AMPLIACION LICEO JUAN DANTE PARRAGUEZ	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	FI	338487
20196291-0	"CONSTRUCCION AMPLIACION 2ª ETAPA LICEO COMERCIAL C-27, QUILLOTA"	EDUCACION MEDIA TECNICO	F.N.D.R.	RS	162611
20196690-0	AMPLIACION ESCUELA GENERAL JOSE MIGUEL CARRERA	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	170857
20197174-0	NORMALIZACION ESCUELA RURAL EL CONVENTO	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	106124
30000098-0	REPOSICION CONSTRUCCION Y MEJORAMIENTO LICEO A N°2	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	247344
30000349-0	CONSTRUCCION HOGAR ESTUDIANTIL COMUNAS ZAPALLAR Y PETORCA	EDUCACION SUPERIOR	F.N.D.R. - MUNICIPAL	FI	299979
30002082-0	MEJORAMIENTO Y AMPLIACION MUSEO HISTORIA NATURAL VALPARAISO	ARTE Y CULTURA	SECTORIAL - F.N.D.R.	RS	580780
30002226-0	HABILITACION MUSEO DE BELLAS ARTES	ARTE Y CULTURA	F.N.D.R.	OT	200703
30002828-0	ADQUISICION EQUIPAMIENTO CULTURAL ITINERANTE	INTERSUBSECTORIAL EDUCACION Y CULTURA	F.N.D.R.	RS	11824
30003537-0	"REPOSICION JARDIN INFANTIL CISNE BLANCO, QUILLOTA"	EDUCACION PREBASICA	F.N.D.R.	FI	73797
30003953-0	"AMPLIACION JARDIN INFANTIL CLASICO EL PRINCIPITO, QUILLOTA"	EDUCACION PREBASICA	F.N.D.R.	RS	85032
30004285-0	REPOSICION BUS TRANSPORTE ESCOLAR	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	46244
30007541-0	DIFUSION Y ENCUENTRO DE LAS  ARTES EN LAS COMUNAS DE LA REGION	ARTE Y CULTURA	F.N.D.R.	RS	167780
30007631-0	PROTECCION Y  FOMENTO DE LA CREACIÓN ARTÍSTICA REGION  VALPARAISO	ARTE Y CULTURA	F.N.D.R.	OT	151606
30007865-0	CAPACITACION DE AGENTES CULTURALES	ARTE Y CULTURA	F.N.D.R.	OT	144027
30007894-0	DIFUSION DE VALPSO. A TRAVES DEL LEGADO CULTURAL DE PABLO NERUDA	ARTE Y CULTURA	F.N.D.R.	RS	18194
30028689-0	AMPLIACION LICEO TÉCNICO FEMENINO	EDUCACION MEDIA TECNICO	SECTORIAL - F.N.D.R.	RS	1031178
30028697-0	AMPLIACION ESCUELA ESPECIAL DE DESARROLLO	EDUCACION DIFERENCIAL Y ESPECIAL	SECTORIAL - F.N.D.R.	RS	736426
30028698-0	AMPLIACION COLEGIO TECNICO PROFESIONAL MANNHEIM	EDUCACION MEDIA TECNICO	SECTORIAL - F.N.D.R.	RS	940347
30028738-0	"AMPLIACION ESCUELA HUMBERTO VILCHES D-319, VINA"	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RS	437748
30028744-0	"REPOSICION ESCUELA BASICA VILLA MONTE F-337,VINA"	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RS	521301
30028746-0	"REPOSICION CON RELOCALIZACION LICEO BENJAMIN VICUNA MACKENNA, VINA"	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	FI	752338
30028748-0	"REPOSICION ESCUELA EDUARDO FREI M. F-369, VINA"	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	661961
30028749-0	"REPOSICION ESCUELA BASICA ADRIANO MACHADO E-351,VINA"	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	FI	710904
30028750-0	"AMPLIACION ESCUELA JUANITA AGUIRRE F-336, VINA"	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RS	253820
30028752-0	"AMPLIACION ESCUELA GASTON OSSA SAINT MARIE E-338, VINA"	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	FI	266615
30028754-0	"AMPLIACION ESCUELA SANTA JULIA D-334, VINA"	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	FI	560160
30028755-0	"AMPLIACION ESCUELA ENRIQUE CARDENAS E-373, VINA"	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RS	512233
30028758-0	"AMPLIACION ESCUELA MARCELA PAZ F-361, VINA"	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	522061
30028821-0	CONSTRUCCION NUEVO LICEO DE PAPUDO	EDUCACION MEDIA TECNICO	SECTORIAL - F.N.D.R. - MUNICIPAL	RS	572365
30028823-0	RECUPERACION Y RESCATE DE VALORES CULTURALES Y FESTIVIDADES RAPANUIS	ADMINISTRACION EDUCACION Y CULTURA	F.N.D.R. - MUNICIPAL	OT	28591
30029665-0	CONSTRUCCION HABILITACIÓN Y EQUIP LICEO A-18 INST. FCO ARAYA BENNET	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RS	1664223
30029667-0	CONSTRUCCION HABILITACION Y EQUIPAMIENTO LICEO B-29 VALPARIASO	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RS	885627
30029672-0	REPOSICION Y EQUIPAMIENTO ESCUELA ERNESTO QUIROZ WEBER F-311	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	FI	325490
30029686-0	AMPLIACION ESCUELA MONTE CARMELO	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	FI	153198
30029731-0	AMPLIACION ESCUELA BASICA E10 GABRIELA MISTRAL LA LIGUA	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	FI	880545
30029734-0	REPOSICION AMPLIACION Y READECUACION ESCUELA HANS WENKE M.	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R. - MUNICIPAL	RS	757305
30029735-0	AMPLIACION ESCUELA DIFERENCIAL PAUL HARRIS	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R. - MUNICIPAL	RS	146855
30033947-0	REPOSICION ESCUELA F-140 LA PAMPILLA	INTERSUBSECTORIAL EDUCACION Y CULTURA	F.N.D.R.	FI	293347
30034174-0	NORMALIZACION COLEGIO EL TABO	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	78046
30034183-0	NORMALIZACION ESCUELA LAS CRUCES	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	49631
30034607-0	CONSTRUCCION BIBLIOTECA MUNICIPAL Y SALA MULTIPROPOSITO	ARTE Y CULTURA	F.N.D.R.	OT	130843
30034970-0	CONSERVACION Y RESCATE DE VALORES CULTURALES Y FESTIVIDADES RAPANUIS	INTERSUBSECTORIAL EDUCACION Y CULTURA	F.N.D.R. - MUNICIPAL		52866
